vehicle_number,vehicle_type,violation_count,last_seen,most_common_area,most_common_violations
FKN00GL26461,CAR,3,2024-04-04 02:59:46+00:00,"80 Feet Ring Road, Shambhavi, Rajaji Nagar",WRONG PARKING | NO PARKING
FKN00GL82804,SCOOTER,3,2024-04-08 06:52:46+00:00,"Nandanavana G Street, Doddaiah Layout, Halasuru",PARKING IN A MAIN ROAD | WRONG PARKING | NO PARKING
FKN00GL2252,SCOOTER,3,2023-11-17 20:51:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING
FKN00GL74793,CAR,3,2024-03-03 07:23:46+00:00,"1st Main Road, Sri Kanakadasa Circle, Gandhi Nagar",WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL25943,SCOOTER,3,2024-02-24 00:33:46+00:00,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli",NO PARKING | PARKING IN A MAIN ROAD | WRONG PARKING
FKN00GL80926,CAR,3,2024-03-09 06:23:46+00:00,"Wind Tunnel Road, Rifco Santhosh Apartment, Cauvery Nagar",NO PARKING | PARKING IN A MAIN ROAD | DEFECTIVE NUMBER PLATE
FKN00GL82811,MAXI-CAB,3,2024-03-08 07:51:46+00:00,"Mysore Road, Iyannashetty Layout, New Timber Yard Layout",NO PARKING | REFUSE TO GO FOR HIRE | PARKING IN A MAIN ROAD
FKN00GL80898,MOTOR CYCLE,3,2024-04-08 02:52:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL74623,MAXI-CAB,3,2024-03-03 06:31:46+00:00,"Unnamed Road, Begur Chikkanahalli, Bengaluru",NO PARKING
FKN00GL21258,CAR,3,2024-02-09 02:41:46+00:00,"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar",WRONG PARKING
FKN00GL26467,SCOOTER,3,2024-02-08 05:54:46+00:00,"Sahakar Nagar Road, Olivia, Raintree Boulevard",WRONG PARKING
FKN00GL7465,PASSENGER AUTO,3,2024-03-30 06:55:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | REFUSE TO GO FOR HIRE | DEFECTIVE NUMBER PLATE
FKN00GL7467,CAR,3,2024-03-31 04:12:46+00:00,"Deena Seva Sangh Road, Shri Rajiv Gandhi Circle, Seshadripuram",NO PARKING | WRONG PARKING
FKN00GL80872,PASSENGER AUTO,3,2024-04-07 19:43:46+00:00,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar",NO PARKING | WRONG PARKING | REFUSE TO GO FOR HIRE
FKN00GL74768,CAR,3,2024-03-02 23:24:46+00:00,"5th Cross Road, Rajath Greens, Block 5 Stage 1",NO PARKING
FKN00GL212555,MOTOR CYCLE,3,2024-01-29 02:50:46+00:00,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura",DEFECTIVE NUMBER PLATE | WRONG PARKING | NO PARKING
FKN00GL7337,SCOOTER,3,2024-01-31 05:28:46+00:00,"SP Road, Dodpete, Nagartapete",WRONG PARKING
FKN00GL21235,CAR,3,2024-03-23 04:11:46+00:00,"1st Main Road, Sagar Theatre Junction, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL21232,CAR,3,2024-03-29 22:45:46+00:00,"MBT Road, Royal Heritage, Pai Layout",WRONG PARKING
FKN00GL25946,MOTOR CYCLE,3,2024-04-02 02:17:46+00:00,"MSR College Road, MS Ramaiah Hospital Junction, RMV Stage 2",NO PARKING
FKN00GL21635,CAR,3,2024-02-06 03:41:46+00:00,"19th Main Road, Block 1, Rajaji Nagar",NO PARKING
FKN00GL73603,PASSENGER AUTO,3,2024-03-02 23:55:46+00:00,"Mysore Road, City Market Circle, Bengaluru",NO PARKING | WRONG PARKING
FKN00GL73974,GOODS AUTO,3,2024-03-12 04:51:46+00:00,"Seshadri Road, Anand Rao Circle, Gandhi Nagar",WRONG PARKING
FKN00GL21801,PASSENGER AUTO,3,2024-04-08 05:34:46+00:00,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",NO PARKING | WRONG PARKING
FKN00GL21804,PASSENGER AUTO,3,2024-02-06 05:06:46+00:00,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",NO PARKING | WRONG PARKING
FKN00GL26161,FACTORY BUS,3,2024-02-07 23:41:46+00:00,"ITPL Main Road, Vijetha Lapis Lazati, Brookefield",WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL74046,CAR,3,2024-02-22 04:43:46+00:00,"1st Main Road, Maharani College Junction, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL21824,CAR,3,2024-02-08 05:18:46+00:00,"18th Cross Road, Malleshwaram 18th Cross Junction, Malleshwaram West",NO PARKING | WRONG PARKING
FKN00GL74087,SCOOTER,3,2024-03-12 22:55:46+00:00,"Chord Road, Manuvana, Vijaya Nagar",NO PARKING | WRONG PARKING
FKN00GL26351,PASSENGER AUTO,3,2024-03-22 23:12:46+00:00,"J Lingaiah Road, Shree MG Seshadri Circle, Seshadripuram",NO PARKING
FKN00GL26149,SCOOTER,3,2023-11-30 01:23:46+00:00,"G Narayana Kumar Road, Block C, KP Agrahara",NO PARKING | WRONG PARKING | DOUBLE PARKING
FKN00GL82170,SCOOTER,3,2024-03-18 05:30:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL74145,SCOOTER,3,2024-03-03 06:17:46+00:00,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar",WRONG PARKING
FKN00GL74162,CAR,3,2024-03-03 04:26:46+00:00,"Amrutha College Road, Azalea, Owners Court Layout",NO PARKING
FKN00GL214343,MAXI-CAB,3,2024-03-11 00:01:46+00:00,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar",NO PARKING | WRONG PARKING
FKN00GL21610,CAR,3,2024-03-07 03:37:46+00:00,"WOC Road, Block 1R, Rajaji Nagar",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL26143,CAR,3,2024-02-09 05:31:46+00:00,"Outer Ring Road, Shilpitha Tech Park, Kariyammana Agrahara",NO PARKING
FKN00GL73579,SCOOTER,3,2024-03-02 23:58:46+00:00,"Y Ramachandra Road, Sri Kanakadasa Circle, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL82209,CAR,3,2024-03-08 03:02:46+00:00,"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar",WRONG PARKING | NO PARKING
FKN00GL218504,SCOOTER,3,2023-12-01 00:17:46+00:00,"Chord Road, Manuvana, Vijaya Nagar",NO PARKING
FKN00GL7356,CAR,3,2024-03-13 08:18:46+00:00,"27th Main Road, HSR Layout 27th Main Junction, HSR Layout",NO PARKING
FKN00GL82211,PASSENGER AUTO,3,2024-03-08 04:00:46+00:00,"Avenue Road, City Market Circle, Bengaluru",WRONG PARKING | PARKING IN A MAIN ROAD | NO PARKING
FKN00GL21569,MOTOR CYCLE,3,2024-03-30 05:00:46+00:00,"Bellary Road, Vinayaka Nagar, Hebbal",NO PARKING | WRONG PARKING
FKN00GL21568,PASSENGER AUTO,3,2024-02-29 03:50:46+00:00,"Kempegowda Road, Mysore Bank Circle, Chickpete",WRONG PARKING | NO PARKING
FKN00GL21868,SCOOTER,3,2024-02-06 05:37:46+00:00,"Ayyappa Temple Road, Fortune Acacia, Byatarayanapura",NO PARKING
FKN00GL81822,CAR,3,2024-04-07 20:37:46+00:00,"7th Cross Road, Chikka Biddappa Layout, Garvebhavi Palya",WRONG PARKING
FKN00GL8180,CAR,3,2024-04-07 23:23:46+00:00,"60 Feet Road, Block 5, Koramangala",WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD
FKN00GL219193,MOTOR CYCLE,3,2023-11-22 03:20:46+00:00,"Cunningham Road, Coffee Board Junction, Vasant Nagar",WRONG PARKING
FKN00GL82227,CAR,3,2024-03-25 03:11:46+00:00,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar",NO PARKING | PARKING IN A MAIN ROAD
FKN00GL74297,PASSENGER AUTO,3,2024-03-13 02:07:46+00:00,"AS Char Main Road, Chickpet Circle, Chickpete",WRONG PARKING | PARKING IN A MAIN ROAD | NO PARKING
FKN00GL82190,CAR,3,2024-03-08 03:46:46+00:00,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL82150,PASSENGER AUTO,3,2024-03-24 05:42:46+00:00,"Central Street, Shivaji Nagar, Bengaluru",WRONG PARKING | NO PARKING
FKN00GL8210,SCOOTER,3,2024-02-10 06:39:46+00:00,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar",NO PARKING
FKN00GL21661,TANKER,3,2024-02-28 19:43:46+00:00,"HAL Airport Road, SJR Spencer, Ashwath Nagar",NO PARKING | PARKING IN A MAIN ROAD
FKN00GL26305,MOTOR CYCLE,3,2024-02-08 23:35:46+00:00,"Chord Road, Block 1, Rajaji Nagar",NO PARKING | WRONG PARKING
FKN00GL21668,MOTOR CYCLE,3,2024-03-02 20:48:46+00:00,"15th Cross Road, Malleshwara Extension, Malleshwaram West",NO PARKING
FKN00GL21673,LGV,3,2024-02-06 04:27:46+00:00,"1st Cross Road, Kalasipalyam, Bengaluru",WRONG PARKING
FKN00GL73712,SCOOTER,3,2024-04-07 03:36:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING
FKN00GL21644,MOTOR CYCLE,3,2024-04-03 22:30:46+00:00,"4th Cross Road, Kalyani Trident, Dollars Colony",NO PARKING
FKN00GL82083,CAR,3,2024-04-07 20:49:46+00:00,"Dr APJ Abdul Kalam Marg, Sir CV Raman Circle, CV Raman Nagar",NO PARKING | WRONG PARKING
FKN00GL26295,PASSENGER AUTO,3,2024-03-12 23:53:46+00:00,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING | DEFECTIVE NUMBER PLATE | WRONG PARKING
FKN00GL82036,PASSENGER AUTO,3,2024-03-08 03:01:46+00:00,"Marthalli Ring Road, Shilpitha Tech Park, Kariyammana Agrahara",WRONG PARKING | NO PARKING | PARKING NEAR ROAD CROSSING
FKN00GL73756,SCOOTER,3,2024-03-20 04:00:46+00:00,"AS Char Main Road, Chickpet Circle, Chickpete",NO PARKING
FKN00GL81983,SCOOTER,3,2024-03-08 02:59:46+00:00,"Triveni Road, Yeshwanthapura Circle, Yeshwanthpur",DEFECTIVE NUMBER PLATE | NO PARKING | WRONG PARKING
FKN00GL8198,SCOOTER,3,2024-02-03 06:26:46+00:00,"1st Cross Road, Mallige Thotta, Cholurpalya",NO PARKING | PARKING IN A MAIN ROAD
FKN00GL8197,MOTOR CYCLE,3,2024-02-03 06:25:46+00:00,"Dmart, Magadi Road, Rajajinagar 6th Block",NO PARKING
FKN00GL81876,CAR,3,2024-04-06 01:59:46+00:00,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING
FKN00GL21643,SCOOTER,3,2024-03-02 03:25:46+00:00,"4th Main Road, Nagappa Block, Srirampuram",NO PARKING | WRONG PARKING
FKN00GL81964,CAR,3,2024-03-08 02:41:46+00:00,"18th Cross Road, Malleshwaram 18th Cross Junction, Malleshwaram West",NO PARKING
FKN00GL73838,LGV,3,2024-04-06 04:43:46+00:00,"Gangadhara Chetty Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING
FKN00GL21766,SCOOTER,3,2024-03-28 23:01:46+00:00,"G Narayana Kumar Road, Ashwath Nagar, Bengaluru",WRONG PARKING
FKN00GL81934,CAR,3,2024-04-07 21:58:46+00:00,"P&T Road, BSNL Quarters, Block 2",WRONG PARKING
FKN00GL81920,MOTOR CYCLE,3,2024-03-08 02:40:46+00:00,"Kariyammana Agrahara Road, Prestige Silver Crest, Kadubisanahalli",NO PARKING
FKN00GL73884,PASSENGER AUTO,3,2024-04-07 03:42:46+00:00,"1st Cross Road, Kempegowda Maharaja Complex, Kempegowda Extension",NO PARKING | WRONG PARKING
FKN00GL26203,SCOOTER,3,2024-03-20 06:54:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",PARKING IN A MAIN ROAD | WRONG PARKING | DOUBLE PARKING
FKN00GL73917,CAR,3,2024-02-24 06:01:46+00:00,"Kemp Road, Elegant Springdale, Pulikeshi Nagar",NO PARKING
FKN00GL81898,SCOOTER,3,2024-03-08 01:56:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING
FKN00GL81894,SCOOTER,3,2024-03-08 01:54:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING
FKN00GL8188,MOTOR CYCLE,3,2024-02-03 06:25:46+00:00,"Dmart, Magadi Road, Rajajinagar 6th Block",NO PARKING
FKN00GL216386,MOTOR CYCLE,3,2024-01-31 05:53:46+00:00,"Amrutha Medicals, 403, Dr. Rajkumar Road",NO PARKING
FKN00GL21638,SCOOTER,3,2024-03-30 03:34:46+00:00,"Veera Pillai Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING
FKN00GL26338,PASSENGER AUTO,3,2024-03-24 07:13:46+00:00,"MBT Road, Kotturu, Dooravani Nagar",NO PARKING | WRONG PARKING
FKN00GL26248,CAR,3,2024-03-31 03:14:46+00:00,"Da Ra Bendre Road, Orion, Brigade Gateway",NO PARKING | WRONG PARKING
FKN00GL81588,SCOOTER,3,2024-03-09 21:44:46+00:00,"Subedar Chatram Road, RK Puram, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL214350,CAR,3,2024-01-28 05:00:46+00:00,"Da Ra Bendre Road, Orion, Brigade Gateway",NO PARKING
FKN00GL26090,CAR,3,2024-03-01 23:55:46+00:00,"Unnamed Road, Chikkanahalli North Taluka, Bengaluru",NO PARKING | WRONG PARKING
FKN00GL22107,PASSENGER AUTO,3,2024-03-27 06:11:46+00:00,"1st Cross Road, Cholurpalya, Bengaluru",WRONG PARKING | NO PARKING
FKN00GL8240,SCOOTER,3,2024-02-11 05:44:46+00:00,"1st Cross Road, Mallige Thotta, Cholurpalya",NO PARKING | WRONG PARKING
FKN00GL22134,CAR,3,2024-04-03 06:39:46+00:00,"1st Cross Road, Ravi Kirloskar Layout, Chikkabidarakallu",WRONG PARKING
FKN00GL81456,LORRY/GOODS VEHICLE,3,2024-03-07 21:17:46+00:00,"1st Main Road, Ramaiah Reddy Layout, Singasandra",WRONG PARKING
FKN00GL22183,PASSENGER AUTO,3,2024-03-04 05:39:46+00:00,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",NO PARKING
FKN00GL22211,PASSENGER AUTO,3,2024-03-29 23:32:46+00:00,"5th Main Road, Dhondusa Layout, Basavanagudi",NO PARKING | WRONG PARKING
FKN00GL74416,SCOOTER,3,2024-03-24 04:51:46+00:00,"4th Cross Road, Kaverappa Industrial Area, NS Palya",NO PARKING
FKN00GL26063,CAR,3,2024-03-30 02:46:46+00:00,"Thavarekere Main Road, Bhuvanappa Layout, Sadduguntepalya",NO PARKING
FKN00GL8142,PASSENGER AUTO,3,2024-02-01 05:43:46+00:00,"AS Char Main Road, Sultanpete, Bengaluru",NO PARKING | PARKING IN A MAIN ROAD | WRONG PARKING
FKN00GL26061,VAN,3,2024-03-30 22:05:46+00:00,"8th Main Road, NIMHANS, Bengaluru",NO PARKING
FKN00GL22246,PASSENGER AUTO,3,2024-02-06 08:31:46+00:00,"Gururaja Pharmacy, 15, Dhanvanthari Road",WRONG PARKING
FKN00GL8224,BUS (BMTC/KSRTC),3,2024-02-03 05:08:46+00:00,"1st Cross Road, Sharadamma Layout, Munnekolala",WRONG PARKING | PARKING IN A MAIN ROAD | DOUBLE PARKING
FKN00GL26040,PASSENGER AUTO,3,2024-03-30 02:32:46+00:00,"8th Main Road, NIMHANS, Bengaluru",NO PARKING
FKN00GL82605,PASSENGER AUTO,3,2024-03-31 03:45:46+00:00,"Outer Ring Road, Venkatappa Colony, Mahadevapura",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL82615,CAR,3,2024-03-21 20:04:46+00:00,"Outer Ring Road, Sharadamma Layout, Munnekolala",PARKING IN A MAIN ROAD | NO PARKING | WRONG PARKING
FKN00GL22268,CAR,3,2024-03-17 04:20:46+00:00,"Chord Road, Shivanahalli Junction, Rajaji Nagar",WRONG PARKING | PARKING NEAR ROAD CROSSING | PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS
FKN00GL26028,HGV,3,2024-03-07 02:41:46+00:00,"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar",WRONG PARKING
FKN00GL26014,CAR,3,2024-03-31 00:09:46+00:00,"19th Main Road, Ketamaranahalli, Block 1",WRONG PARKING
FKN00GL22272,SCOOTER,3,2024-04-06 09:31:46+00:00,"Old Madras Road, Gopalan Signature Mall, Nagavara Palya",WRONG PARKING
FKN00GL2228,CAR,3,2024-04-07 04:01:46+00:00,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL21397,MOTOR CYCLE,3,2024-03-31 06:04:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL81306,MOTOR CYCLE,3,2024-01-04 23:20:46+00:00,"MBT Road, SM Layout, Dooravani Nagar",WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL7445,LGV,3,2024-03-27 01:59:46+00:00,"PR Lane, Shoukath Mohalla, Nagartapete",WRONG PARKING | NO PARKING
FKN00GL74486,SCOOTER,3,2024-03-03 05:55:46+00:00,"Chord Road, Sindhya Sunshine Apartment, Vijaya Nagar",WRONG PARKING | NO PARKING
FKN00GL81209,CAR,3,2024-03-28 20:41:46+00:00,"Outer Ring Road, New Horizon College of Engineering, Kadubisanahalli",WRONG PARKING | NO PARKING | DOUBLE PARKING
FKN00GL82672,CAR,3,2024-03-08 07:15:46+00:00,"15th Cross Road, Malleshwara Extension, Malleshwaram West",WRONG PARKING
FKN00GL25999,CAR,3,2024-03-31 00:06:46+00:00,"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar",WRONG PARKING
FKN00GL82574,CAR,3,2024-03-08 06:24:46+00:00,"District Office Road, Police Corner Junction, Nagartapete",WRONG PARKING | PARKING IN A MAIN ROAD | NO PARKING
FKN00GL26133,SCOOTER,3,2024-03-01 22:23:46+00:00,"Kariyammana Agrahara Road, Prestige Silver Crest, Kadubisanahalli",WRONG PARKING | NO PARKING
FKN00GL7435,PASSENGER AUTO,3,2024-03-25 20:29:46+00:00,"Subedar Chatram Road, RK Puram, Gandhi Nagar",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL21514,MOTOR CYCLE,3,2024-02-06 03:33:46+00:00,"Laxmana Mudaliar Street, Nethaji Subhas Chadra Bose Circle, Shivaji Nagar",WRONG PARKING | DEFECTIVE NUMBER PLATE | WITHOUT SIDE MIRROR
FKN00GL26358,MOTOR CYCLE,3,2024-03-10 03:04:46+00:00,"Hospital Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL2611,SCOOTER,3,2024-03-15 06:42:46+00:00,"Central Road, BSNL CACT Building, Dooravani Nagar",NO PARKING
FKN00GL215089,MOTOR CYCLE,3,2024-01-25 03:25:46+00:00,"Palace Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli",WRONG PARKING
FKN00GL81760,CAR,3,2024-03-07 23:33:46+00:00,"Major T Ramachandrappa Road, Majestic, Bengaluru",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL215087,MOPED,3,2024-01-25 03:25:46+00:00,"Palace Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli",WRONG PARKING
FKN00GL73500,TEMPO,3,2024-03-02 23:13:46+00:00,"9th Main Road, Rajath Greens, Block 5 Stage 1",NO PARKING
FKN00GL219444,SCOOTER,3,2023-11-22 05:00:46+00:00,"Cronwell Road, Vaswani Centropolis, Bheemanna Garden",NO PARKING
FKN00GL26372,CAR,3,2024-03-13 00:30:46+00:00,"Outer Ring Road, SLS Serenity Apartment, Reddy Layout",PARKING IN A MAIN ROAD | WRONG PARKING | NO PARKING
FKN00GL215083,MOPED,3,2024-01-25 03:25:46+00:00,"Palace Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli",WRONG PARKING
FKN00GL81750,CAR,3,2024-03-07 22:51:46+00:00,"Cunningham Road, BKM Gowda Circle, Vasant Nagar",WRONG PARKING | NO PARKING
FKN00GL81678,LGV,3,2024-03-08 02:29:46+00:00,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL74359,CAR,3,2024-03-03 05:40:46+00:00,"1st Cross Road, Kempegowda Maharaja Complex, Kempegowda Extension",NO PARKING | WRONG PARKING
FKN00GL21447,SCOOTER,3,2024-03-13 02:24:46+00:00,"Veera Pillai Street, Quadrant Square, Shivaji Nagar",WRONG PARKING
FKN00GL215069,MOTOR CYCLE,3,2024-01-25 03:24:46+00:00,"Palace Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli",WRONG PARKING
FKN00GL81676,CAR,3,2023-12-10 02:55:46+00:00,"18th Cross Road, Malleshwaram 18th Cross Junction, Malleshwaram West",WRONG PARKING | NO PARKING
FKN00GL26102,LGV,3,2024-02-07 23:07:46+00:00,"5th Main Road, R Subanna Circle, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL73495,TEMPO,3,2024-03-03 22:56:46+00:00,"9th Main Road, Rajath Greens, Block 5 Stage 1",NO PARKING
FKN00GL26377,SCOOTER,3,2024-02-08 01:50:46+00:00,"Dispensary Road, Tasker Town, Shivaji Nagar",NO PARKING
FKN00GL21486,PASSENGER AUTO,3,2024-04-02 06:37:46+00:00,"Kalasipalyam Main Road, Kalasipalyam, Bengaluru",WRONG PARKING
FKN00GL21997,MOTOR CYCLE,3,2024-02-13 07:24:46+00:00,"Chord Road, Manuvana, Vijaya Nagar",NO PARKING | WRONG PARKING
FKN00GL214749,MOTOR CYCLE,3,2024-01-28 06:11:46+00:00,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura",WRONG PARKING
FKN00GL26092,CAR,3,2024-03-31 22:23:46+00:00,"Unnamed Road, Begur Chikkanahalli, Bengaluru",WRONG PARKING | PARKING IN A MAIN ROAD | DEFECTIVE NUMBER PLATE
FKN00GL22006,CAR,3,2024-03-30 02:20:46+00:00,"12th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar",NO PARKING | WRONG PARKING
FKN00GL22010,CAR,3,2024-04-01 02:38:46+00:00,"9th Main Road, Hanumantha Nagar, Bengaluru",WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL22035,PASSENGER AUTO,3,2024-02-10 18:57:46+00:00,"14th Cross Road, Muthuraya Swamy Extension, Sunkadakatte",WRONG PARKING | NO PARKING
FKN00GL82318,CAR,3,2024-03-08 04:47:46+00:00,"Subedar Chatram Road, AT Extension, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL26384,LGV,3,2024-03-19 02:34:46+00:00,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar",WRONG PARKING
FKN00GL81619,CAR,3,2024-03-07 23:41:46+00:00,"Seshadri Road, R Subanna Circle, Gandhi Nagar",WRONG PARKING
FKN00GL215078,MOTOR CYCLE,3,2024-01-25 03:25:46+00:00,"Palace Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli",WRONG PARKING
FKN00GL78240,CAR,3,2024-03-05 23:51:46+00:00,"Outer Ring Road, Vajram Onyx, Devara Beesana Halli",NO PARKING | WRONG PARKING
FKN00GL76343,SCOOTER,3,2024-03-04 21:37:46+00:00,"South Central Road, Sirur Park Junction, Seshadripuram",NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL24015,SCOOTER,3,2024-02-07 04:58:46+00:00,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL78316,SCOOTER,3,2024-03-06 00:55:46+00:00,"Kumbar Street, Devasandra Junction, KR Puram",PARKING IN A MAIN ROAD | WRONG PARKING
FKN00GL76335,SCOOTER,3,2024-03-04 21:36:46+00:00,"Pampa Mahakavi Road, Vanivilas Circle, Basavanagudi",NO PARKING
FKN00GL24958,CAR,3,2024-03-02 07:02:46+00:00,"Hosur Road, Metro Urbano, Muni Reddy Layout",WRONG PARKING
FKN00GL24009,MOTOR CYCLE,3,2024-02-07 03:39:46+00:00,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar",NO PARKING
FKN00GL24959,SCOOTER,3,2024-02-13 04:42:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",WRONG PARKING
FKN00GL76325,MAXI-CAB,3,2024-03-04 21:24:46+00:00,"17th Main Road, KPTCL Quarters, Block 2",WRONG PARKING | NO PARKING
FKN00GL2308,CAR,3,2024-02-09 23:40:46+00:00,"Cleveland Road, Sarvanton Circle, Frazer Town",NO PARKING
FKN00GL25000,CAR,3,2024-02-15 02:37:46+00:00,"19th Main Road, Block 1, Rajaji Nagar",WRONG PARKING | NO PARKING
FKN00GL78360,SCOOTER,3,2024-03-06 02:10:46+00:00,"Hospital Road, Kempegowda Maharaja Complex, Kempegowda Extension",NO PARKING
FKN00GL24001,CAR,3,2024-03-23 01:39:46+00:00,"Y Ramachandra Road, Sri Kanakadasa Circle, Gandhi Nagar",NO PARKING
FKN00GL23993,CAR,3,2024-02-07 03:32:46+00:00,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL78393,CAR,3,2024-03-07 02:15:46+00:00,"ITPL Main Road, SJR I Park, EPIP Zone",NO PARKING | WRONG PARKING
FKN00GL76230,CAR,3,2024-03-23 06:26:46+00:00,"Jayamahal Main Road, Munireddypalya, JC Nagar",WRONG PARKING | NO PARKING
FKN00GL78618,SCOOTER,3,2024-04-07 21:04:46+00:00,"Avenue Road, City Market Circle, Bengaluru",WRONG PARKING
FKN00GL25017,PASSENGER AUTO,3,2024-02-13 22:27:46+00:00,"Golf Avenue Road, Muniallappa Garden, Kodihalli",NO PARKING
FKN00GL78623,MAXI-CAB,3,2024-04-07 21:14:46+00:00,"Unnamed Road, Begur Chikkanahalli, Bengaluru",WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD
FKN00GL25023,MOTOR CYCLE,3,2024-02-04 03:34:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING
FKN00GL7626,LGV,3,2024-03-18 21:16:46+00:00,"Narasimha Raj Wadiyar Road, Dodpete, Nagartapete",WRONG PARKING | NO PARKING
FKN00GL24092,PASSENGER AUTO,3,2024-02-07 04:01:46+00:00,"Mysore Road, City Market Circle, Bengaluru",WRONG PARKING
FKN00GL78107,MOTOR CYCLE,3,2024-03-27 22:25:46+00:00,"100 Feet Road, New Binnamangla, Indiranagar",PARKING ON FOOTPATH | WRONG PARKING
FKN00GL2485,PASSENGER AUTO,3,2024-03-28 05:29:46+00:00,"St John Road, Shree Circle, Sivanchetti Gardens",NO PARKING
FKN00GL24080,CAR,3,2024-03-30 05:26:46+00:00,"Sri Venkataranga Ayangar Road, Acharya Sri Ramanuja Circle, Malleshwaram",NO PARKING | WRONG PARKING
FKN00GL24058,MOTOR CYCLE,3,2024-03-29 23:06:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",WRONG PARKING | NO PARKING
FKN00GL76433,CAR,3,2024-03-04 21:52:46+00:00,"Chikka Banahalli Road, Alpine Viva, Belathur",WRONG PARKING
FKN00GL76432,CAR,3,2024-03-04 21:52:46+00:00,"Whitefield Main Road, Nitesh Forest Hills, Seegehalli",WRONG PARKING
